,CaseID,Address,Street,Neighborhood,Point,point_geom
40,16587738,"841 POLK ST, SAN FRANCISCO, CA, 94109",POLK ST,Tenderloin,"(37.78447031, -122.41964035)",POINT (-122.41964035 37.784470309)
41,16590737,"1750 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Japantown,"(37.78473721, -122.43168812)",POINT (-122.431688117 37.78473721)
43,16592427,"1782 MARKET ST, SAN FRANCISCO, CA, 94102",MARKET ST,Lower Haight,"(37.77209898, -122.42335521)",POINT (-122.423355212 37.772098975)
44,16591679,"18 LAPIDGE ST, SAN FRANCISCO, CA, 94110",LAPIDGE ST,Mission Dolores,"(37.76136851, -122.42243721)",POINT (-122.422437211 37.761368512)
46,16598670,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495)
47,16590291,"74 RINCON ST, SAN FRANCISCO, CA, 94107",RINCON ST,Rincon Hill,"(37.78449144, -122.39248208)",POINT (-122.392482079 37.78449144)
48,16596456,"1661 15TH ST, SAN FRANCISCO, CA, 94103",15TH ST,Mission,"(37.76616491, -122.42149986)",POINT (-122.42149986 37.76616491)
49,16593052,"1096 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78248478, -122.42572434)",POINT (-122.42572434 37.782484776)
50,16596407,"530 MISSION BAY BLVD NORTH, SAN FRANCISCO, CA, 94158",MISSION BAY BLVD NORTH,Mission Bay,"(37.771095, -122.39006667)",POINT (-122.390066667 37.771095)
51,16596176,"752 STOCKTON ST, SAN FRANCISCO, CA, 94108",STOCKTON ST,Chinatown,"(37.79295, -122.40766167)",POINT (-122.407661667 37.79295)
52,16595239,"450 OFARRELL ST, SAN FRANCISCO, CA, 94102",OFARRELL ST,Tenderloin,"(37.7860112, -122.41237868)",POINT (-122.41237868 37.7860112)
53,16592510,"452 2ND ST, SAN FRANCISCO, CA, 94107",2ND ST,Central Waterfront,"(37.78356681, -122.39431903)",POINT (-122.39431903 37.78356681)
54,16588878,"4079 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,Castro,"(37.76223, -122.43695833)",POINT (-122.436958333 37.76223)
59,16596103,"2675 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,Anza Vista,"(37.78227304, -122.44581645)",POINT (-122.445816446 37.782273036)
61,16598253,"750 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Tenderloin,"(37.78351113, -122.42007485)",POINT (-122.420074852 37.783511133)
62,16595213,"1723 LOMBARD ST, SAN FRANCISCO, CA, 94123",LOMBARD ST,Union Street,"(37.800395, -122.429862)",POINT (-122.429862 37.800395)
63,16592365,"600 BROTHERHOOD WAY, SAN FRANCISCO, CA, 94132",BROTHERHOOD WAY,Merced Heights,"(37.71302801, -122.47031506)",POINT (-122.470315063 37.713028009)
64,16595786,"401 CENTRAL AVE, SAN FRANCISCO, CA, 94117",CENTRAL AVE,Panhandle,"(37.7735141, -122.4444679)",POINT (-122.4444679 37.7735141)
65,16588277,Intersection of GEARY BLVD and PRESIDIO AVE,GEARY BLVD,Anza Vista,"(37.78246298, -122.44609693)",POINT (-122.446096933 37.782462984)
66,16595728,Intersection of STOCKTON ST and END (700 BLOCK OF),STOCKTON ST,Chinatown,"(37.79265964, -122.4076014)",POINT (-122.407601397 37.792659645)
67,16591947,Intersection of CABRILLO ST and LA PLAYA,CABRILLO ST,Outer Richmond,"(37.7733178, -122.50994714)",POINT (-122.509947142 37.773317795)
69,16590277,"2696 GEARY BLVD, SAN FRANCISCO, CA, 94118",GEARY BLVD,Laurel Heights / Jordan Park,"(37.78256167, -122.44760833)",POINT (-122.447608333 37.782561667)
70,16599946,"190 LENOX WAY, SAN FRANCISCO, CA, 94127",LENOX WAY,West Portal,"(37.7413787, -122.4662067)",POINT (-122.4662067 37.7413787)
71,16589546,Intersection of LENOX WAY and ULLOA ST,LENOX WAY,West Portal,"(37.7410062, -122.4659514)",POINT (-122.4659514 37.7410062)
73,16590600,"1706 GROVE ST, SAN FRANCISCO, CA, 94117",GROVE ST,Panhandle,"(37.77516865, -122.44499214)",POINT (-122.444992137 37.775168646)
75,16592228,"750 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Tenderloin,"(37.7834981, -122.4199395)",POINT (-122.4199395 37.7834981)
76,16593063,"1099 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78220024, -122.42572507)",POINT (-122.425725067 37.782200244)
77,16597746,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778725, -122.40968333)",POINT (-122.409683333 37.778725)
78,16588497,Intersection of GEARY ST and HYDE ST,GEARY ST,Tenderloin,"(37.7862441, -122.4164767)",POINT (-122.4164767 37.7862441)
79,16589155,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776156, -122.40679386)",POINT (-122.40679386 37.777761558)
80,16588924,"2780 18TH ST, SAN FRANCISCO, CA, 94110",18TH ST,Mission,"(37.76184073, -122.40997373)",POINT (-122.409973729 37.761840727)
81,16598844,"3101 19TH ST, SAN FRANCISCO, CA, 94110",19TH ST,Mission,"(37.7606851, -122.41318279)",POINT (-122.413182787 37.760685104)
83,16594262,Intersection of DUBOCE AVE and WOODWARD ST,DUBOCE AVE,Mission,"(37.7699445, -122.4209766)",POINT (-122.4209766 37.7699445)
85,16593059,Intersection of EDDY ST and GOUGH ST,EDDY ST,Cathedral Hill,"(37.78247334, -122.42412912)",POINT (-122.42412912 37.782473335)
89,16599664,"1243 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,Cathedral Hill,"(37.7873909, -122.421977)",POINT (-122.421977 37.7873909)
90,16594821,"4780 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,Outer Richmond,"(37.77333723, -122.50990503)",POINT (-122.509905027 37.773337234)
94,16598748,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882724, -122.40960393)",POINT (-122.40960393 37.77882724)
95,16593873,"2352 REVERE AVE, SAN FRANCISCO, CA, 94124 (Virtual)",REVERE AVE,Apparel City,"(37.73869367, -122.40252193)",POINT (-122.402521928 37.738693669)
97,16589829,Intersection of MATEO ST and END (300 BLOCK OF),MATEO ST,Fairmount,"(37.7356137, -122.4282495)",POINT (-122.4282495 37.7356137)
98,16595011,"319 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,Inner Richmond,"(37.7824445, -122.4654805)",POINT (-122.4654805 37.7824445)
99,16593055,"1080 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78245126, -122.4250132)",POINT (-122.425013204 37.782451257)
100,16598841,Intersection of 19TH ST and TREAT AVE,19TH ST,Mission,"(37.76076437, -122.41399199)",POINT (-122.413991995 37.760764373)
103,16588980,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77277249, -122.40658682)",POINT (-122.406586817 37.772772488)
104,16598328,Intersection of 20TH ST and CAPP ST,20TH ST,Mission,"(37.75870947, -122.41784973)",POINT (-122.417849732 37.758709473)
105,16593053,"1090 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78242415, -122.42558789)",POINT (-122.425587885 37.782424148)
106,16590059,"4780 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,Outer Richmond,"(37.7733269, -122.50992192)",POINT (-122.509921916 37.773326899)
109,16591184,Intersection of CABRILLO ST and LA PLAYA,CABRILLO ST,Outer Richmond,"(37.77333025, -122.50995995)",POINT (-122.509959955 37.773330246)
110,16595586,"4780 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,Outer Richmond,"(37.77332671, -122.50984228)",POINT (-122.509842282 37.773326713)
111,16592014,"898 PENNSYLVANIA AVE, SAN FRANCISCO, CA, 94107",PENNSYLVANIA AVE,Potrero Hill,"(37.75510333, -122.39306667)",POINT (-122.393066667 37.755103333)
112,16598864,"822 GEARY ST, SAN FRANCISCO, CA, 94109",GEARY ST,Lower Nob Hill,"(37.78645979, -122.41697766)",POINT (-122.41697766 37.78645979)
113,16599584,"1740 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,Lower Haight,"(37.77236247, -122.42305191)",POINT (-122.423051914 37.772362466)
114,16594268,"1871 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",ALEMANY BLVD,Cayuga,"(37.7222959, -122.4379502)",POINT (-122.4379502 37.7222959)
115,16592514,Intersection of 4TH ST and BRYANT ST,4TH ST,South of Market,"(37.77955556, -122.39811389)",POINT (-122.39811389 37.77955556)
116,16589960,"401 SAN BRUNO AVE, SAN FRANCISCO, CA, 94110",SAN BRUNO AVE,Potrero Hill,"(37.7647224, -122.40523813)",POINT (-122.405238133 37.764722396)
117,16595016,"659 MCALLISTER ST, SAN FRANCISCO, CA, 94102",MCALLISTER ST,Civic Center,"(37.7798729, -122.4229256)",POINT (-122.4229256 37.7798729)
119,16596780,"5601 GEARY BLVD, SAN FRANCISCO, CA, 94121",GEARY BLVD,Outer Richmond,"(37.7800185, -122.4795688)",POINT (-122.4795688 37.7800185)
123,16595318,Intersection of COLUMBIA SQUARE ST and FOLSOM ST,COLUMBIA SQUARE ST,South of Market,"(37.77767824, -122.40645619)",POINT (-122.406456189 37.777678243)
124,16587991,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77883175, -122.40959823)",POINT (-122.40959823 37.77883175)
126,16599166,Intersection of 8TH ST and BRYANT ST,8TH ST,Showplace Square,"(37.7725615, -122.4069632)",POINT (-122.4069632 37.7725615)
128,16597362,"850 DAVIS ST, SAN FRANCISCO, CA (Virtual)",DAVIS ST,,"(37.8001787, -122.3988154)",POINT (-122.398815404 37.8001787)
129,16590511,"1575 NORTH POINT ST, SAN FRANCISCO, CA, 94123",NORTH POINT ST,Marina,"(37.80408787, -122.43290992)",POINT (-122.432909922 37.804087874)
131,16588628,"5 HALLAM ST, SAN FRANCISCO, CA, 94103",HALLAM ST,South of Market,"(37.77600495, -122.40875216)",POINT (-122.408752162 37.776004951)
132,16593232,"3121 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,Aquatic Park / Ft. Mason,"(37.80439001, -122.42535936)",POINT (-122.425359364 37.804390013)
134,16595162,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77828373, -122.41176244)",POINT (-122.41176244 37.77828373)
136,16598314,"780 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,Cathedral Hill,"(37.7819325, -122.42185686)",POINT (-122.421856861 37.781932496)
137,16596194,"777 STOCKTON ST, SAN FRANCISCO, CA, 94108",STOCKTON ST,Nob Hill,"(37.7926114, -122.40770233)",POINT (-122.407702326 37.792611399)
138,16599721,"120 WILLOW ST, SAN FRANCISCO, CA, 94109",WILLOW ST,Tenderloin,"(37.78355947, -122.41992898)",POINT (-122.419928976 37.783559473)
139,16594452,"2500 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,Castro,"(37.76204318, -122.43656042)",POINT (-122.436560418 37.762043179)
140,16595105,"2793 16TH ST, SAN FRANCISCO, CA, 94103",16TH ST,Mission,"(37.76537285, -122.41513838)",POINT (-122.41513838 37.765372851)
142,16591695,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77281436, -122.40658682)",POINT (-122.406586817 37.77281436)
144,16594728,Intersection of CRISP RD and QUESADA AVE,CRISP RD,Hunters Point,"(37.72783795, -122.38166504)",POINT (-122.38166504 37.72783795)
145,16596548,"232 STILL ST, SAN FRANCISCO, CA, 94112 (Virtual)",STILL ST,Mission Terrace,"(37.73174235, -122.43200092)",POINT (-122.432000916 37.731742348)
146,16592146,"435 TERRY A FRANCOIS BLVD, SAN FRANCISCO, CA, 94158",TERRY A FRANCOIS BLVD,Mission Bay,"(37.77237166, -122.38679744)",POINT (-122.38679744 37.77237166)
147,16591603,"550 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,Tenderloin,"(37.78622708, -122.41454491)",POINT (-122.414544907 37.78622708)
150,16591224,"1185 STEINER ST, SAN FRANCISCO, CA, 94115",STEINER ST,Western Addition,"(37.78005943, -122.4337192)",POINT (-122.4337192 37.780059425)
151,16598561,Intersection of BAY SHORE BLVD and PHELPS ST,BAY SHORE BLVD,Portola,"(37.72766167, -122.4021)",POINT (-122.4021 37.727661667)
153,16595552,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77665822, -122.41427634)",POINT (-122.41427634 37.77665822)
154,16588860,"321 7TH AVE, SAN FRANCISCO, CA, 94118",7TH AVE,Inner Richmond,"(37.78244257, -122.46588118)",POINT (-122.46588118 37.782442566)
155,16591017,"1345 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.77082757, -122.42156157)",POINT (-122.421561566 37.770827569)
162,16595225,"1113 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7789316, -122.4112245)",POINT (-122.4112245 37.7789316)
163,16592819,"3571 16TH ST, SAN FRANCISCO, CA, 94114",16TH ST,Castro,"(37.76406965, -122.43226555)",POINT (-122.43226555 37.764069647)
166,16591241,"2100 POST ST, SAN FRANCISCO, CA, 94115",POST ST,Lower Pacific Heights,"(37.78467597, -122.43656953)",POINT (-122.436569534 37.784675975)
167,16590682,"1300 SUTTER ST, SAN FRANCISCO, CA, 94109",SUTTER ST,Cathedral Hill,"(37.78758341, -122.42237104)",POINT (-122.422371044 37.787583412)
168,16593058,"1016 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78247854, -122.42450307)",POINT (-122.424503075 37.782478537)
169,16589442,"2201 GEARY BLVD, SAN FRANCISCO, CA, 94115",GEARY BLVD,Anza Vista,"(37.78315609, -122.43964937)",POINT (-122.43964937 37.78315609)
170,16588863,"68 MCCOPPIN ST, SAN FRANCISCO, CA, 94103",MCCOPPIN ST,South of Market,"(37.77173423, -122.42176599)",POINT (-122.421765993 37.771734234)
171,16599747,"80 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",SOUTH VAN NESS AVE,South of Market,"(37.773662, -122.41896597)",POINT (-122.41896597 37.773662)
176,16596859,"239 JUDAH ST, SAN FRANCISCO, CA, 94122",JUDAH ST,Inner Sunset,"(37.76217043, -122.46489646)",POINT (-122.46489646 37.76217043)
177,16595832,"295 SAN BRUNO AVE, SAN FRANCISCO, CA, 94103",SAN BRUNO AVE,Showplace Square,"(37.766146, -122.405949)",POINT (-122.405949 37.766146)
179,16597036,Intersection of GOLDEN GATE AVE and GOUGH ST,GOLDEN GATE AVE,Cathedral Hill,"(37.78076058, -122.42359577)",POINT (-122.423595773 37.780760585)
180,16593065,"1001 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78238325, -122.42431371)",POINT (-122.424313712 37.782383248)
181,16588736,"970 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7803022, -122.4064671)",POINT (-122.4064671 37.7803022)
182,16594269,"1871 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",ALEMANY BLVD,Cayuga,"(37.7222959, -122.4379502)",POINT (-122.4379502 37.7222959)
183,16591488,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77102545, -122.40570487)",POINT (-122.405704874 37.771025454)
184,16592322,"500 JONES ST, SAN FRANCISCO, CA, 94102",JONES ST,Tenderloin,"(37.78600287, -122.41285907)",POINT (-122.412859073 37.786002869)
190,16598897,"1871 ALEMANY BLVD, SAN FRANCISCO, CA, 94112",ALEMANY BLVD,Cayuga,"(37.7222959, -122.4379502)",POINT (-122.4379502 37.7222959)
191,16587901,"1460 WALLER ST, SAN FRANCISCO, CA, 94117",WALLER ST,Haight Ashbury,"(37.7692189, -122.4477934)",POINT (-122.4477934 37.7692189)
192,16589169,"485 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78038452, -122.40738416)",POINT (-122.407384159 37.780384518)
193,16592285,Intersection of PENNSYLVANIA AVE and 23RD ST,PENNSYLVANIA AVE,Potrero Hill,"(37.75520601, -122.3927026)",POINT (-122.392702602 37.755206014)
194,16590402,"241 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77358, -122.413513)",POINT (-122.413513 37.77358)
195,16594809,"411 SHRADER ST, SAN FRANCISCO, CA, 94117",SHRADER ST,Haight Ashbury,"(37.77084115, -122.4525114)",POINT (-122.452511403 37.770841152)
196,16595260,Intersection of GRANT AVE and PINE ST,GRANT AVE,Chinatown,"(37.79147958, -122.4056829)",POINT (-122.405682903 37.791479576)
201,16591999,"275 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",SOUTH VAN NESS AVE,Mission,"(37.76877958, -122.41777025)",POINT (-122.417770252 37.768779583)
202,16587867,"2555 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,Castro,"(37.76195873, -122.43677138)",POINT (-122.436771384 37.761958726)
203,16591549,Intersection of 47TH AVE and CABRILLO ST,47TH AVE,Outer Richmond,"(37.77337229, -122.50790705)",POINT (-122.507907049 37.773372294)
204,16596746,"550 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.76970499, -122.4092938)",POINT (-122.4092938 37.76970499)
205,16590740,"2352 REVERE AVE, SAN FRANCISCO, CA, 94124 (Virtual)",REVERE AVE,Apparel City,"(37.73870287, -122.40257137)",POINT (-122.402571367 37.738702867)
207,16593049,"140 OCTAVIA ST, SAN FRANCISCO, CA, 94102",OCTAVIA ST,Lower Haight,"(37.77354351, -122.42370356)",POINT (-122.423703556 37.773543512)
210,16598871,"1680 CALIFORNIA ST, SAN FRANCISCO, CA, 94109",CALIFORNIA ST,Polk Gulch,"(37.79050888, -122.42187038)",POINT (-122.42187038 37.790508879)
213,16597779,"3845 NORIEGA ST, SAN FRANCISCO, CA, 94122",NORIEGA ST,Outer Sunset,"(37.75299648, -122.50490785)",POINT (-122.50490785 37.75299648)
218,16590546,"2525 LARKIN ST, SAN FRANCISCO, CA, 94109",LARKIN ST,Russian Hill,"(37.80119184, -122.42112422)",POINT (-122.421124218 37.80119184)
219,16590683,Intersection of ESSEX ST and HARRISON ST,ESSEX ST,Rincon Hill,"(37.78517283, -122.39414904)",POINT (-122.39414904 37.78517283)
221,16590353,"445 HAMPSHIRE ST, SAN FRANCISCO, CA, 94110",HAMPSHIRE ST,Mission,"(37.76368123, -122.40844464)",POINT (-122.40844464 37.763681233)
222,16589180,"324 HERMANN ST, SAN FRANCISCO, CA, 94117",HERMANN ST,Duboce Triangle,"(37.77024893, -122.43045519)",POINT (-122.430455192 37.770248928)
223,16591950,Intersection of 15TH ST and SHARON ST,15TH ST,Mission Dolores,"(37.7660728, -122.4299563)",POINT (-122.4299563 37.7660728)
225,16596514,Intersection of 12TH ST and KISSLING ST,12TH ST,South of Market,"(37.77143, -122.41613833)",POINT (-122.416138333 37.77143)
226,16599836,"1145 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.7795051, -122.41348341)",POINT (-122.41348341 37.7795051)
228,16588499,"525 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,Tenderloin,"(37.78570138, -122.41645464)",POINT (-122.41645464 37.785701379)
234,16599931,"750 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Tenderloin,"(37.78356201, -122.42016068)",POINT (-122.420160683 37.783562009)
235,16599766,Intersection of CRISP RD and QUESADA AVE,CRISP RD,Hunters Point,"(37.72785545, -122.38167476)",POINT (-122.38167476 37.72785545)
237,16594624,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7810895, -122.4096502)",POINT (-122.4096502 37.7810895)
238,16590358,"600 HARRISON ST, SAN FRANCISCO, CA, 94107",HARRISON ST,South of Market,"(37.78403836, -122.39544046)",POINT (-122.395440462 37.784038363)
239,16599748,"1243 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,Cathedral Hill,"(37.7873909, -122.421977)",POINT (-122.421977 37.7873909)
240,16594716,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78065225, -122.40809586)",POINT (-122.40809586 37.78065225)
244,16591729,"70 ZOE ST, SAN FRANCISCO, CA, 94107",ZOE ST,South of Market,"(37.77958937, -122.39562359)",POINT (-122.39562359 37.77958937)
246,16590287,"190 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,Mission,"(37.76374297, -122.41867769)",POINT (-122.418677695 37.763742969)
249,16596882,Intersection of HALE ST and SAN BRUNO AVE,HALE ST,Portola,"(37.73299682, -122.40593467)",POINT (-122.40593467 37.73299682)
250,16595717,"4750 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,Outer Richmond,"(37.77333501, -122.50963623)",POINT (-122.509636228 37.77333501)
251,16593671,"1865 POST ST, SAN FRANCISCO, CA, 94115",POST ST,Japantown,"(37.78464675, -122.43203505)",POINT (-122.432035047 37.784646754)
254,16592182,"559 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Tenderloin,"(37.78454654, -122.41535539)",POINT (-122.415355388 37.784546537)
255,16589242,Intersection of 18TH ST and NOE ST,18TH ST,Castro,"(37.76111173, -122.43277252)",POINT (-122.43277252 37.76111173)
256,16591813,"104 OCTAVIA ST, SAN FRANCISCO, CA, 94102",OCTAVIA ST,Lower Haight,"(37.77306251, -122.42361724)",POINT (-122.423617242 37.773062512)
257,16598617,"949 VERMONT ST, SAN FRANCISCO, CA, 94107",VERMONT ST,Potrero Hill,"(37.75769969, -122.4035424)",POINT (-122.403542395 37.757699694)
258,16599753,"1185 STEINER ST, SAN FRANCISCO, CA, 94115",STEINER ST,Western Addition,"(37.78010283, -122.43366838)",POINT (-122.433668378 37.780102834)
259,16589993,"995 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Cathedral Hill,"(37.78342895, -122.42239842)",POINT (-122.422398415 37.78342895)
261,16594892,"80 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",SOUTH VAN NESS AVE,South of Market,"(37.7736087, -122.4191646)",POINT (-122.4191646 37.7736087)
262,16592019,"898 PENNSYLVANIA AVE, SAN FRANCISCO, CA, 94107",PENNSYLVANIA AVE,Potrero Hill,"(37.75516333, -122.39305)",POINT (-122.39305 37.755163333)
263,16598799,"4780 CABRILLO ST, SAN FRANCISCO, CA, 94121",CABRILLO ST,Outer Richmond,"(37.77333966, -122.50983264)",POINT (-122.509832636 37.773339664)
264,16588848,"2250 HARRISON ST, SAN FRANCISCO, CA, 94110",HARRISON ST,Mission,"(37.76147702, -122.41274646)",POINT (-122.412746456 37.761477018)
265,16598450,"4800 LINCOLN WAY, SAN FRANCISCO, CA, 94122",LINCOLN WAY,Golden Gate Park,"(37.76498155, -122.50983434)",POINT (-122.509834345 37.764981548)
267,16599432,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776667, -122.4068)",POINT (-122.4068 37.777766667)
268,16593118,"1250 TENNESSEE ST, SAN FRANCISCO, CA, 94107",TENNESSEE ST,Dogpatch,"(37.75568457, -122.38903928)",POINT (-122.389039282 37.755684567)
269,16590086,"1297 18TH AVE, SAN FRANCISCO, CA, 94122",18TH AVE,Inner Sunset,"(37.7637718, -122.4762361)",POINT (-122.4762361 37.7637718)
272,16589987,"939 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Cathedral Hill,"(37.78368333, -122.42177614)",POINT (-122.421776143 37.783683329)
273,16594421,"450 GEARY ST, SAN FRANCISCO, CA, 94102",GEARY ST,Lower Nob Hill,"(37.787168, -122.410733)",POINT (-122.410733 37.787168)
274,16590548,"3286 CALIFORNIA ST, SAN FRANCISCO, CA, 94118",CALIFORNIA ST,Presidio Heights,"(37.78698156, -122.44812623)",POINT (-122.44812623 37.786981564)
276,16592841,"711 VAN NESS AVE, SAN FRANCISCO, CA, 94102",VAN NESS AVE,Cathedral Hill,"(37.78193264, -122.42124562)",POINT (-122.421245619 37.781932637)
279,16596145,Intersection of HARRISON ST and NORFOLK ST,HARRISON ST,South of Market,"(37.7704179, -122.4126775)",POINT (-122.4126775 37.7704179)
280,16598741,"551 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77911944, -122.4089)",POINT (-122.4089 37.77911944)
282,16588031,"985 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Cathedral Hill,"(37.78364941, -122.42237696)",POINT (-122.422376958 37.783649412)
283,16588017,"939 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Cathedral Hill,"(37.78331024, -122.42169031)",POINT (-122.421690312 37.783310239)
284,16590361,"390 9TH AVE, SAN FRANCISCO, CA, 94118",9TH AVE,Inner Richmond,"(37.78129102, -122.46755011)",POINT (-122.467550114 37.781291016)
285,16589102,"199 THE EMBARCADERO, SAN FRANCISCO, CA, 94111",THE EMBARCADERO,Financial District,"(37.79638809, -122.39528412)",POINT (-122.395284123 37.796388093)
286,16589260,"530 ARGUELLO BLVD, SAN FRANCISCO, CA, 94118",ARGUELLO BLVD,Lone Mountain,"(37.7806203, -122.4585555)",POINT (-122.4585555 37.7806203)
287,16589469,"324 HERMANN ST, SAN FRANCISCO, CA, 94117",HERMANN ST,Duboce Triangle,"(37.77030565, -122.43040382)",POINT (-122.430403823 37.770305648)
288,16590532,"737 GROVE ST, SAN FRANCISCO, CA, 94102",GROVE ST,Hayes Valley,"(37.7769, -122.428709)",POINT (-122.428709 37.7769)
290,16591929,Intersection of GEARY BLVD and MASONIC AVE,GEARY BLVD,Lone Mountain,"(37.78246473, -122.44747429)",POINT (-122.447474293 37.78246473)
291,16590793,Intersection of PERRY ST and 5TH ST,PERRY ST,South of Market,"(37.77876258, -122.40131996)",POINT (-122.401319957 37.778762578)
292,16597192,"828 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,Mission Dolores,"(37.75952902, -122.42154695)",POINT (-122.421546949 37.759529022)
293,16594400,"925 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Cathedral Hill,"(37.78374, -122.42156406)",POINT (-122.421564064 37.78374)
294,16594686,"822 GEARY ST, SAN FRANCISCO, CA, 94109",GEARY ST,Lower Nob Hill,"(37.78645979, -122.41697766)",POINT (-122.41697766 37.78645979)
295,16589299,"38 ROSE ST, SAN FRANCISCO, CA, 94102",ROSE ST,Civic Center,"(37.77385026, -122.42153121)",POINT (-122.421531212 37.773850258)
297,16588881,"4083 17TH ST, SAN FRANCISCO, CA, 94114",17TH ST,Castro,"(37.76229167, -122.43702)",POINT (-122.43702 37.762291667)
298,16595903,"950 PERALTA AVE, SAN FRANCISCO, CA, 94110",PERALTA AVE,Bernal Heights,"(37.7373153, -122.4093864)",POINT (-122.4093864 37.7373153)
299,16593060,"1010 EDDY ST, SAN FRANCISCO, CA, 94109",EDDY ST,Cathedral Hill,"(37.78253211, -122.42434016)",POINT (-122.424340157 37.782532112)
300,16594907,"12 12TH ST, SAN FRANCISCO, CA, 94103",12TH ST,South of Market,"(37.7741762, -122.4199318)",POINT (-122.4199318 37.7741762)
301,16587582,"559 ELLIS ST, SAN FRANCISCO, CA, 94109",ELLIS ST,Tenderloin,"(37.78449205, -122.4155434)",POINT (-122.415543397 37.784492053)
