,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
15924,17375883,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77887998, -122.40966462)",POINT (-122.409664616 37.778879976),South of Market,POINT (-122.40966462 37.77887998)
15931,17377632,"624 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77799292, -122.41064691)",POINT (-122.410646907 37.777992925),South of Market,POINT (-122.41064691 37.77799292)
15932,17381939,"936 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78213923, -122.40743276)",POINT (-122.407432757 37.782139227),South of Market,POINT (-122.40743276 37.78213923)
15933,17384513,"541 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77214863, -122.40633804)",POINT (-122.406338043 37.772148633),South of Market,POINT (-122.40633804 37.77214863)
15942,17378535,"70 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77549688, -122.4166887)",POINT (-122.416688701 37.775496881),South of Market,POINT (-122.4166887 37.77549688)
15975,17374563,"1126 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77752717, -122.41016627)",POINT (-122.410166271 37.77752717),South of Market,POINT (-122.41016627 37.77752717)
15983,17383178,"70 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77554667, -122.41643667)",POINT (-122.416436667 37.775546667),South of Market,POINT (-122.41643667 37.77554667)
15992,17380748,"20 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.77685994, -122.41027157)",POINT (-122.410271574 37.776859938),South of Market,POINT (-122.41027157 37.77685994)
15993,17372130,"70 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77539314, -122.41675159)",POINT (-122.416751589 37.775393137),South of Market,POINT (-122.41675159 37.77539314)
16023,17376099,"701 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77675767, -122.41271182)",POINT (-122.412711825 37.776757666),South of Market,POINT (-122.41271182 37.77675767)
16040,17395902,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.7788548, -122.40959555)",POINT (-122.409595549 37.778854802),South of Market,POINT (-122.40959555 37.7788548)
16056,17393579,"199 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.77974516, -122.40707822)",POINT (-122.407078224 37.779745162),South of Market,POINT (-122.40707822 37.77974516)
16059,17393619,"411 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.7806875, -122.4046813)",POINT (-122.4046813 37.7806875),South of Market,POINT (-122.4046813 37.7806875)
16062,17390424,"1001 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77973516, -122.40699886)",POINT (-122.406998861 37.779735164),South of Market,POINT (-122.40699886 37.77973516)
16076,17391384,Intersection of MISSION ST and WASHBURN ST,MISSION ST,South of Market,"(37.7759011, -122.4151542)",POINT (-122.4151542 37.7759011),South of Market,POINT (-122.4151542 37.7759011)
16077,17395486,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77886726, -122.4096046)",POINT (-122.409604602 37.778867256),South of Market,POINT (-122.4096046 37.77886726)
