,CaseID,Address,Street,Neighborhood,Point,point_geom,Mapped Neighborhood,geometry
4,16598670,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495),South of Market,POINT (-122.40989667 37.778495)
27,16597746,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778725, -122.40968333)",POINT (-122.409683333 37.778725),South of Market,POINT (-122.40968333 37.778725)
29,16589155,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776156, -122.40679386)",POINT (-122.40679386 37.777761558),South of Market,POINT (-122.40679386 37.77776156)
36,16598748,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882724, -122.40960393)",POINT (-122.40960393 37.77882724),South of Market,POINT (-122.40960393 37.77882724)
42,16588980,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77277249, -122.40658682)",POINT (-122.406586817 37.772772488),South of Market,POINT (-122.40658682 37.77277249)
52,16592514,Intersection of 4TH ST and BRYANT ST,4TH ST,South of Market,"(37.77955556, -122.39811389)",POINT (-122.39811389 37.77955556),South of Market,POINT (-122.39811389 37.77955556)
56,16595318,Intersection of COLUMBIA SQUARE ST and FOLSOM ST,COLUMBIA SQUARE ST,South of Market,"(37.77767824, -122.40645619)",POINT (-122.406456189 37.777678243),South of Market,POINT (-122.40645619 37.77767824)
57,16587991,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77883175, -122.40959823)",POINT (-122.40959823 37.77883175),South of Market,POINT (-122.40959823 37.77883175)
58,16599166,Intersection of 8TH ST and BRYANT ST,8TH ST,Showplace Square,"(37.7725615, -122.4069632)",POINT (-122.4069632 37.7725615),South of Market,POINT (-122.4069632 37.7725615)
61,16588628,"5 HALLAM ST, SAN FRANCISCO, CA, 94103",HALLAM ST,South of Market,"(37.77600495, -122.40875216)",POINT (-122.408752162 37.776004951),South of Market,POINT (-122.40875216 37.77600495)
63,16595162,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77828373, -122.41176244)",POINT (-122.41176244 37.77828373),South of Market,POINT (-122.41176244 37.77828373)
69,16591695,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77281436, -122.40658682)",POINT (-122.406586817 37.77281436),South of Market,POINT (-122.40658682 37.77281436)
76,16595552,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77665822, -122.41427634)",POINT (-122.41427634 37.77665822),South of Market,POINT (-122.41427634 37.77665822)
79,16595225,"1113 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7789316, -122.4112245)",POINT (-122.4112245 37.7789316),South of Market,POINT (-122.4112245 37.7789316)
91,16588736,"970 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7803022, -122.4064671)",POINT (-122.4064671 37.7803022),South of Market,POINT (-122.4064671 37.7803022)
93,16591488,"901 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,Showplace Square,"(37.77102545, -122.40570487)",POINT (-122.405704874 37.771025454),South of Market,POINT (-122.40570487 37.77102545)
97,16589169,"485 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78038452, -122.40738416)",POINT (-122.407384159 37.780384518),South of Market,POINT (-122.40738416 37.78038452)
99,16590402,"241 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77358, -122.413513)",POINT (-122.413513 37.77358),South of Market,POINT (-122.413513 37.77358)
116,16599836,"1145 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,South of Market,"(37.7795051, -122.41348341)",POINT (-122.41348341 37.7795051),South of Market,POINT (-122.41348341 37.7795051)
120,16594624,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.7810895, -122.4096502)",POINT (-122.4096502 37.7810895),South of Market,POINT (-122.4096502 37.7810895)
123,16594716,"498 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.78065225, -122.40809586)",POINT (-122.40809586 37.78065225),South of Market,POINT (-122.40809586 37.78065225)
124,16591729,"70 ZOE ST, SAN FRANCISCO, CA, 94107",ZOE ST,South of Market,"(37.77958937, -122.39562359)",POINT (-122.39562359 37.77958937),South of Market,POINT (-122.39562359 37.77958937)
140,16599432,"1048 FOLSOM ST, SAN FRANCISCO, CA, 94103",FOLSOM ST,South of Market,"(37.77776667, -122.4068)",POINT (-122.4068 37.777766667),South of Market,POINT (-122.4068 37.77776667)
148,16598741,"551 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77911944, -122.4089)",POINT (-122.4089 37.77911944),South of Market,POINT (-122.4089 37.77911944)
157,16590793,Intersection of PERRY ST and 5TH ST,PERRY ST,South of Market,"(37.77876258, -122.40131996)",POINT (-122.401319957 37.778762578),South of Market,POINT (-122.40131996 37.77876258)
167,16588967,Intersection of I-80 WESTBOUND and I-80 W ON RAMP,I-80 WESTBOUND,Showplace Square,"(37.77249422, -122.40675378)",POINT (-122.406753785 37.772494218),South of Market,POINT (-122.40675378 37.77249422)
172,16596929,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78123905, -122.40961411)",POINT (-122.409614108 37.781239054),South of Market,POINT (-122.40961411 37.78123905)
173,16597121,"479 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78046516, -122.40720436)",POINT (-122.40720436 37.78046516),South of Market,POINT (-122.40720436 37.78046516)
177,16598383,Intersection of 4TH ST and STILLMAN ST,4TH ST,South of Market,"(37.78006874, -122.39855625)",POINT (-122.39855625 37.78006874),South of Market,POINT (-122.39855625 37.78006874)
183,16605275,Intersection of FOLSOM ST and RUSS ST,FOLSOM ST,South of Market,"(37.77767014, -122.40677604)",POINT (-122.406776043 37.77767014),South of Market,POINT (-122.40677604 37.77767014)
187,16611862,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7790656, -122.4112818)",POINT (-122.4112818 37.7790656),South of Market,POINT (-122.4112818 37.7790656)
190,16602192,"1036 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7792577, -122.407949)",POINT (-122.407949 37.7792577),South of Market,POINT (-122.407949 37.7792577)
206,16604429,"560 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.7807612, -122.4112968)",POINT (-122.4112968 37.7807612),South of Market,POINT (-122.4112968 37.7807612)
214,16609066,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78025497, -122.3987818)",POINT (-122.398781798 37.780254966),South of Market,POINT (-122.3987818 37.78025497)
215,16601953,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495),South of Market,POINT (-122.40989667 37.778495)
216,16616791,Intersection of RUSS ST and TULIP ALY,RUSS ST,South of Market,"(37.7794702, -122.4089857)",POINT (-122.4089857 37.7794702),South of Market,POINT (-122.4089857 37.7794702)
221,16618005,Intersection of RUSS ST and TULIP ALY,RUSS ST,South of Market,"(37.77950826, -122.40913839)",POINT (-122.409138393 37.779508259),South of Market,POINT (-122.40913839 37.77950826)
222,16610246,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863, -122.40969667)",POINT (-122.409696667 37.77863),South of Market,POINT (-122.40969667 37.77863)
224,16614616,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77861667, -122.409675)",POINT (-122.409675 37.778616667),South of Market,POINT (-122.409675 37.77861667)
240,16611277,"246 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.7790498, -122.4041407)",POINT (-122.4041407 37.7790498),South of Market,POINT (-122.4041407 37.7790498)
242,16610983,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77885586, -122.40961332)",POINT (-122.40961332 37.77885586),South of Market,POINT (-122.40961332 37.77885586)
248,16607861,Intersection of 6TH ST and JESSIE ST,6TH ST,South of Market,"(37.7813754, -122.40927871)",POINT (-122.40927871 37.7813754),South of Market,POINT (-122.40927871 37.7813754)
253,16618748,"114 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.77864104, -122.41075227)",POINT (-122.410752273 37.778641037),South of Market,POINT (-122.41075227 37.77864104)
266,16612017,"60 ZOE ST, SAN FRANCISCO, CA, 94107",ZOE ST,South of Market,"(37.7797967, -122.3959551)",POINT (-122.3959551 37.7797967),South of Market,POINT (-122.3959551 37.7797967)
267,16621111,Intersection of 5TH ST and SHIPLEY ST,5TH ST,South of Market,"(37.7798425, -122.4028605)",POINT (-122.4028605 37.7798425),South of Market,POINT (-122.4028605 37.7798425)
269,16606590,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77881664, -122.40958951)",POINT (-122.40958951 37.77881664),South of Market,POINT (-122.40958951 37.77881664)
283,16612108,"460 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78221381, -122.40846299)",POINT (-122.40846299 37.78221381),South of Market,POINT (-122.40846299 37.78221381)
284,16601959,"599 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.778495, -122.40989667)",POINT (-122.409896667 37.778495),South of Market,POINT (-122.40989667 37.778495)
288,16614311,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77822252, -122.41185397)",POINT (-122.41185397 37.77822252),South of Market,POINT (-122.41185397 37.77822252)
290,16607894,"460 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.78224588, -122.40852736)",POINT (-122.40852736 37.78224588),South of Market,POINT (-122.40852736 37.78224588)
295,16611833,"616 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77856119, -122.41081327)",POINT (-122.41081327 37.77856119),South of Market,POINT (-122.41081327 37.77856119)
301,16610322,Intersection of 7TH ST and NATOMA ST,7TH ST,South of Market,"(37.77850037, -122.40992816)",POINT (-122.409928162 37.778500373),South of Market,POINT (-122.40992816 37.77850037)
315,16615625,"49 KATE ST, SAN FRANCISCO, CA, 94103",KATE ST,Showplace Square,"(37.7728017, -122.4057559)",POINT (-122.4057559 37.7728017),South of Market,POINT (-122.4057559 37.7728017)
337,16612395,"998 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.779959, -122.4071154)",POINT (-122.4071154 37.779959),South of Market,POINT (-122.4071154 37.779959)
338,16615850,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77882459, -122.40947753)",POINT (-122.40947753 37.77882459),South of Market,POINT (-122.40947753 37.77882459)
344,16606412,"580 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.78040658, -122.41151422)",POINT (-122.411514223 37.780406576),South of Market,POINT (-122.41151422 37.78040658)
349,16600626,"930 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77416667, -122.41532167)",POINT (-122.415321667 37.774166667),South of Market,POINT (-122.41532167 37.77416667)
357,16616751,Intersection of HARRIET ST and HOWARD ST,HARRIET ST,South of Market,"(37.77929557, -122.40772276)",POINT (-122.407722762 37.779295569),South of Market,POINT (-122.40772276 37.77929557)
365,16619212,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77272319, -122.40657139)",POINT (-122.406571395 37.772723194),South of Market,POINT (-122.40657139 37.77272319)
380,16613024,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77886037, -122.40958851)",POINT (-122.40958851 37.77886037),South of Market,POINT (-122.40958851 37.77886037)
384,16607613,"491 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78025741, -122.40740385)",POINT (-122.40740385 37.78025741),South of Market,POINT (-122.40740385 37.78025741)
386,16610255,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863667, -122.40969167)",POINT (-122.409691667 37.778636667),South of Market,POINT (-122.40969167 37.77863667)
391,16607413,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77247024, -122.40656987)",POINT (-122.406569874 37.772470239),South of Market,POINT (-122.40656987 37.77247024)
401,16616556,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77271047, -122.40658212)",POINT (-122.406582124 37.772710473),South of Market,POINT (-122.40658212 37.77271047)
402,16614565,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863, -122.40969667)",POINT (-122.409696667 37.77863),South of Market,POINT (-122.40969667 37.77863)
411,16614589,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863667, -122.40969167)",POINT (-122.409691667 37.778636667),South of Market,POINT (-122.40969167 37.77863667)
413,16606929,"580 STEVENSON ST, SAN FRANCISCO, CA, 94103",STEVENSON ST,South of Market,"(37.7804994, -122.4114396)",POINT (-122.4114396 37.7804994),South of Market,POINT (-122.4114396 37.7804994)
416,16603924,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.7727709, -122.40657072)",POINT (-122.406570724 37.772770897),South of Market,POINT (-122.40657072 37.7727709)
418,16617514,"181 STILLMAN ST, SAN FRANCISCO, CA, 94107",STILLMAN ST,South of Market,"(37.78026086, -122.39832859)",POINT (-122.39832859 37.78026086),South of Market,POINT (-122.39832859 37.78026086)
425,16616940,"930 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77422785, -122.41515585)",POINT (-122.415155846 37.774227848),South of Market,POINT (-122.41515585 37.77422785)
446,16628670,"442 TEHAMA ST, SAN FRANCISCO, CA, 94103",TEHAMA ST,South of Market,"(37.78025769, -122.40553795)",POINT (-122.405537954 37.780257687),South of Market,POINT (-122.40553795 37.78025769)
450,16627271,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77890224, -122.41101947)",POINT (-122.41101947 37.77890224),South of Market,POINT (-122.41101947 37.77890224)
458,16624397,"40 CLEVELAND ST, SAN FRANCISCO, CA, 94103",CLEVELAND ST,South of Market,"(37.77651491, -122.4070526)",POINT (-122.407052604 37.776514908),South of Market,POINT (-122.4070526 37.77651491)
463,16622906,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77671599, -122.41428774)",POINT (-122.41428774 37.77671599),South of Market,POINT (-122.41428774 37.77671599)
466,16628257,"1177 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77660563, -122.4109102)",POINT (-122.410910204 37.776605628),South of Market,POINT (-122.4109102 37.77660563)
472,16636656,Intersection of 5TH ST and JESSIE ST,5TH ST,South of Market,"(37.7831144, -122.4071036)",POINT (-122.4071036 37.7831144),South of Market,POINT (-122.4071036 37.7831144)
474,16622902,Intersection of 8TH ST and BRYANT ST,8TH ST,Showplace Square,"(37.7725615, -122.4069632)",POINT (-122.4069632 37.7725615),South of Market,POINT (-122.4069632 37.7725615)
478,16631634,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77228962, -122.40651105)",POINT (-122.406511045 37.772289624),South of Market,POINT (-122.40651105 37.77228962)
496,16635871,"1498 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,South of Market,"(37.77089836, -122.41240821)",POINT (-122.412408214 37.770898356),South of Market,POINT (-122.41240821 37.77089836)
503,16626887,Intersection of BRYANT ST and DECATUR ST,BRYANT ST,Showplace Square,"(37.7728589, -122.4065552)",POINT (-122.4065552 37.7728589),South of Market,POINT (-122.4065552 37.7728589)
519,16620728,Intersection of FALMOUTH ST and SHIPLEY ST,FALMOUTH ST,South of Market,"(37.77902545, -122.40384238)",POINT (-122.403842379 37.779025454),South of Market,POINT (-122.40384238 37.77902545)
527,16621169,"520 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,South of Market,"(37.7755785, -122.4022715)",POINT (-122.4022715 37.7755785),South of Market,POINT (-122.4022715 37.7755785)
533,16624377,"52 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77919294, -122.40868092)",POINT (-122.40868092 37.77919294),South of Market,POINT (-122.40868092 37.77919294)
539,16631617,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.77274228, -122.40659017)",POINT (-122.40659017 37.772742275),South of Market,POINT (-122.40659017 37.77274228)
541,16634086,"333 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.7764934, -122.4070812)",POINT (-122.407081198 37.776493403),South of Market,POINT (-122.4070812 37.7764934)
542,16633130,"55 MINT ST, SAN FRANCISCO, CA, 94103",MINT ST,South of Market,"(37.78287, -122.407074)",POINT (-122.407074 37.78287),South of Market,POINT (-122.407074 37.78287)
545,16632068,"964 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7804808, -122.406464)",POINT (-122.406464 37.7804808),South of Market,POINT (-122.406464 37.7804808)
556,16636244,"256 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77885022, -122.40411232)",POINT (-122.404112321 37.778850217),South of Market,POINT (-122.40411232 37.77885022)
565,16623714,"575 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,Showplace Square,"(37.76969645, -122.40882697)",POINT (-122.408826967 37.769696452),South of Market,POINT (-122.40882697 37.76969645)
567,16622798,"1149 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77821006, -122.41177384)",POINT (-122.41177384 37.77821006),South of Market,POINT (-122.41177384 37.77821006)
582,16635588,"246 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77904984, -122.40414061)",POINT (-122.40414061 37.77904984),South of Market,POINT (-122.40414061 37.77904984)
591,16622497,"964 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7804222, -122.4063358)",POINT (-122.4063358 37.7804222),South of Market,POINT (-122.4063358 37.7804222)
599,16632259,"454 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.78091406, -122.40674973)",POINT (-122.40674973 37.78091406),South of Market,POINT (-122.40674973 37.78091406)
600,16630615,"1010 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78068667, -122.40908833)",POINT (-122.409088333 37.780686667),South of Market,POINT (-122.40908833 37.78068667)
604,16622785,"1111 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7790703, -122.4110938)",POINT (-122.4110938 37.7790703),South of Market,POINT (-122.4110938 37.7790703)
612,16626531,"724 BRANNAN ST, SAN FRANCISCO, CA, 94103",BRANNAN ST,South of Market,"(37.7744359, -122.4022873)",POINT (-122.4022873 37.7744359),South of Market,POINT (-122.4022873 37.7744359)
621,16627624,"420 5TH ST, SAN FRANCISCO, CA, 94107",5TH ST,South of Market,"(37.77875566, -122.40151625)",POINT (-122.40151625 37.778755657),South of Market,POINT (-122.40151625 37.77875566)
625,16627880,"780 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.775739, -122.4134427)",POINT (-122.4134427 37.775739),South of Market,POINT (-122.4134427 37.775739)
629,16636778,"99 RAUSCH ST, SAN FRANCISCO, CA, 94103",RAUSCH ST,South of Market,"(37.77601727, -122.4089414)",POINT (-122.408941398 37.776017268),South of Market,POINT (-122.4089414 37.77601727)
638,16652481,"522 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77171805, -122.40634808)",POINT (-122.406348077 37.771718046),South of Market,POINT (-122.40634808 37.77171805)
646,16649250,"55 MINT ST, SAN FRANCISCO, CA, 94103",MINT ST,South of Market,"(37.78291483, -122.40704833)",POINT (-122.407048329 37.782914828),South of Market,POINT (-122.40704833 37.78291483)
649,16646199,"345 6TH ST, SAN FRANCISCO, CA, 94107",6TH ST,South of Market,"(37.77800229, -122.40468194)",POINT (-122.404681935 37.778002287),South of Market,POINT (-122.40468194 37.77800229)
652,16651253,"1009 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.7806774, -122.4090676)",POINT (-122.4090676 37.7806774),South of Market,POINT (-122.4090676 37.7806774)
666,16639784,"23 GRACE ST, SAN FRANCISCO, CA, 94103",GRACE ST,South of Market,"(37.77526628, -122.41512937)",POINT (-122.415129365 37.775266283),South of Market,POINT (-122.41512937 37.77526628)
670,16646188,Intersection of DORE ST and BRANNAN ST,DORE ST,Showplace Square,"(37.76966931, -122.40770903)",POINT (-122.407709034 37.769669313),South of Market,POINT (-122.40770903 37.76966931)
676,16644982,Intersection of PERRY ST and 4TH ST,PERRY ST,South of Market,"(37.78032881, -122.39882409)",POINT (-122.398824086 37.78032881),South of Market,POINT (-122.39882409 37.78032881)
678,16640395,"44 MCLEA CT, SAN FRANCISCO, CA, 94103",MCLEA CT,South of Market,"(37.7721221, -122.4088874)",POINT (-122.4088874 37.7721221),South of Market,POINT (-122.4088874 37.7721221)
688,16651208,"520 JESSIE ST, SAN FRANCISCO, CA, 94103",JESSIE ST,South of Market,"(37.781149, -122.4096138)",POINT (-122.4096138 37.781149),South of Market,POINT (-122.4096138 37.781149)
690,16646192,"363 6TH ST, SAN FRANCISCO, CA, 94107",6TH ST,South of Market,"(37.7779445, -122.40466824)",POINT (-122.404668241 37.777944497),South of Market,POINT (-122.40466824 37.7779445)
692,16646131,"475 9TH ST, SAN FRANCISCO, CA, 94103",9TH ST,South of Market,"(37.77175319, -122.40890262)",POINT (-122.408902617 37.771753189),South of Market,POINT (-122.40890262 37.77175319)
695,16645492,"105 RUSS ST, SAN FRANCISCO, CA, 94103",RUSS ST,South of Market,"(37.77878941, -122.40813937)",POINT (-122.408139367 37.778789408),South of Market,POINT (-122.40813937 37.77878941)
701,16646589,"1042 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7791959, -122.4083888)",POINT (-122.4083888 37.7791959),South of Market,POINT (-122.4083888 37.7791959)
711,16649132,"581 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77872888, -122.40949947)",POINT (-122.409499468 37.778728879),South of Market,POINT (-122.40949947 37.77872888)
714,16637849,"450 4TH ST, SAN FRANCISCO, CA, 94107",4TH ST,South of Market,"(37.78020673, -122.39861259)",POINT (-122.398612586 37.780206728),South of Market,POINT (-122.39861259 37.78020673)
720,16639401,"1038 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.7790551, -122.4080105)",POINT (-122.408010502 37.779055104),South of Market,POINT (-122.4080105 37.7790551)
728,16651293,"516 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77988577, -122.40812344)",POINT (-122.408123436 37.779885773),South of Market,POINT (-122.40812344 37.77988577)
731,16644067,"1020 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.78063667, -122.409325)",POINT (-122.409325 37.780636667),South of Market,POINT (-122.409325 37.78063667)
732,16641067,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77230871, -122.4065486)",POINT (-122.406548596 37.772308705),South of Market,POINT (-122.4065486 37.77230871)
734,16643849,"757 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77638089, -122.41351559)",POINT (-122.413515595 37.776380891),South of Market,POINT (-122.41351559 37.77638089)
742,16652010,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77886222, -122.40963042)",POINT (-122.40963042 37.77886222),South of Market,POINT (-122.40963042 37.77886222)
746,16641385,"160 10TH ST, SAN FRANCISCO, CA, 94103",10TH ST,South of Market,"(37.77433803, -122.41511057)",POINT (-122.415110572 37.774338031),South of Market,POINT (-122.41511057 37.77433803)
749,16652431,"169 7TH ST, SAN FRANCISCO, CA, 94103",7TH ST,South of Market,"(37.7784998, -122.4095855)",POINT (-122.4095855 37.7784998),South of Market,POINT (-122.4095855 37.7784998)
750,16640895,"375 11TH ST, SAN FRANCISCO, CA, 94103",11TH ST,South of Market,"(37.77100182, -122.41273951)",POINT (-122.412739513 37.771001825),South of Market,POINT (-122.41273951 37.77100182)
757,16646147,"40 CLEVELAND ST, SAN FRANCISCO, CA, 94103",CLEVELAND ST,South of Market,"(37.77654058, -122.40697408)",POINT (-122.406974083 37.776540583),South of Market,POINT (-122.40697408 37.77654058)
761,16637493,Intersection of 11TH ST and MINNA ST,11TH ST,South of Market,"(37.77393676, -122.41650566)",POINT (-122.416505657 37.773936762),South of Market,POINT (-122.41650566 37.77393676)
762,16645093,"973 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,South of Market,"(37.77413921, -122.41633651)",POINT (-122.416336515 37.774139214),South of Market,POINT (-122.41633651 37.77413921)
765,16651745,"501 8TH ST, SAN FRANCISCO, CA, 94103",8TH ST,Showplace Square,"(37.77224616, -122.40646142)",POINT (-122.406461424 37.77224616),South of Market,POINT (-122.40646142 37.77224616)
779,16643944,"356 6TH ST, SAN FRANCISCO, CA, 94107",6TH ST,South of Market,"(37.77769421, -122.40472848)",POINT (-122.404728482 37.777694206),South of Market,POINT (-122.40472848 37.77769421)
781,16643114,"236 SHIPLEY ST, SAN FRANCISCO, CA, 94107",SHIPLEY ST,South of Market,"(37.77921251, -122.40373473)",POINT (-122.403734727 37.779212505),South of Market,POINT (-122.40373473 37.77921251)
782,16645625,"1234 HOWARD ST, SAN FRANCISCO, CA, 94103",HOWARD ST,South of Market,"(37.77580201, -122.41229878)",POINT (-122.41229878 37.775802005),South of Market,POINT (-122.41229878 37.77580201)
784,16652071,"1270 MISSION ST, SAN FRANCISCO, CA, 94103",MISSION ST,South of Market,"(37.77662483, -122.41425958)",POINT (-122.41425958 37.77662483),South of Market,POINT (-122.41425958 37.77662483)
787,16650557,"582 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77884473, -122.40954023)",POINT (-122.40954023 37.77884473),South of Market,POINT (-122.40954023 37.77884473)
791,16644533,"780 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.775739, -122.4134427)",POINT (-122.4134427 37.775739),South of Market,POINT (-122.4134427 37.775739)
795,16649890,"592 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,South of Market,"(37.77863667, -122.40972167)",POINT (-122.409721667 37.778636667),South of Market,POINT (-122.40972167 37.77863667)
807,16653579,Intersection of 10TH ST and NATOMA ST,10TH ST,South of Market,"(37.7744271, -122.41499)",POINT (-122.41499 37.7744271),South of Market,POINT (-122.41499 37.7744271)
822,16648576,Intersection of 7TH ST and MISSION ST,7TH ST,South of Market,"(37.77906004, -122.41090211)",POINT (-122.410902108 37.779060044),South of Market,POINT (-122.41090211 37.77906004)
827,16641071,Intersection of BRYANT ST and I-80 E ON RAMP,BRYANT ST,Showplace Square,"(37.7727077, -122.40656987)",POINT (-122.406569874 37.772707695),South of Market,POINT (-122.40656987 37.7727077)
